trial.type,trial,id,population,sex,ate,familiar.object.colour,novel.object.colour,novel.side,rewarded.side,treatment,distance.moved,mean.velocity,periphery.visits,time.in.periphery,latency.periphery,center.visits,time.in.center,latency.center,freezes,time.freezing,left.object.visits,time.with.left.object,latency.left.object,right.object.visits,time.with.right.object,latency.right.object,left.object.large.visits,time.with.left.object.large,latency.left.object.large,right.object.large.visits,time.with.right.object.large,latency.right.object.large,visits.novel.object,time.with.novel.object,latency.novel.object,visits.familiar.object,time.with.familiar.object,latency.familiar.object,time.with.rewarded.object,time.with.unrewarded.object,number.sessions.ate
baseline,2,Z4,Paria,M,NA,,,L,,NA,663.557,1.26395,0,0,-,0,0,-,69,72.5982,4,6.99982,52.9987,2,2.19995,14.5996,25,46.1988,52.3987,12,23.1994,13.7997,4,6.99982,NA,2,2.19995,NA,,,
baseline,2,Z3,Paria,F,NA,,,R,,novel,392.312,0.748135,21,197.795,0,11,319.392,20.1995,27,144.396,5,300.192,20.1995,3,5.79986,291.193,12,9.19977,18.5995,8,9.79975,290.393,3,5.79986,291.193,5,300.192,20.1995,,,
baseline,2,J2,Paria,F,NA,,,L,,novel,648.101,1.07984,9,564.386,0,8,35.9991,127.997,93,139.797,2,2.79993,130.397,1,1.39996,337.992,8,20.9995,128.997,12,25.9994,142.196,2,2.79993,NA,1,1.39996,NA,,,
baseline,2,J1,Paria,F,NA,,,L,,familiar,333.681,0.555964,8,564.786,9.79975,8,35.5991,0,52,438.189,2,4.19989,209.195,1,9.19977,527.987,4,4.79988,62.3984,3,4.19989,520.387,2,4.19989,NA,1,9.19977,NA,,,
baseline,2,J4,Paria,M,NA,,,R,,NA,736.139,1.22652,38,392.39,0,36,205.195,96.5976,67,94.3976,14,22.7994,166.996,9,16.7996,122.397,33,69.3983,166.796,25,63.3984,63.7984,9,16.7996,122.397,14,22.7994,166.996,,,
baseline,2,J3,Paria,F,NA,,,L,,familiar,564.948,0.94129,23,535.587,0,8,51.9987,16.5996,131,203.795,3,4.99988,16.5996,3,9.79975,88.1978,11,45.3989,14.1996,6,15.3996,85.1979,3,4.99988,16.5996,3,9.79975,NA,,,
baseline,2,X2,Paria,F,NA,,,L,,familiar,659.653,1.1109,11,577.4,0,10,16.6,248,80,215.8,1,0.8,387.4,1,1,439.4,13,20.2,45.6,15,26.2,8.2,1,0.8,NA,1,1,NA,,,
baseline,2,X1,Paria,F,NA,,,R,,novel,149.354,0.250847,0,0,-,0,0,-,43,533.6,4,374.8,120.4,0,0,-,7,15.8,119,0,0,-,0,0,-,4,374.8,120.4,,,
baseline,2,X4,Paria,M,NA,,,L,,NA,956.874,1.5943,27,450.189,0,26,150.196,10.9997,53,77.3981,10,61.1985,10.9997,6,9.79975,45.9988,29,49.7988,9.79975,15,20.9995,45.5989,10,61.1985,NA,6,9.79975,NA,,,
baseline,2,X3,Paria,F,NA,,,L,,novel,770.357,1.28353,23,461.388,0,17,136.597,9.59976,60,131.797,8,14.7996,9.59976,4,4.99987,81.398,21,29.7993,9.19977,15,17.5996,73.9981,8,14.7996,NA,4,4.99987,NA,,,
baseline,2,M2,Paria,F,NA,,,R,,novel,382.927,0.638016,9,549.586,0,8,50.7987,143.996,75,392.99,5,36.5991,143.996,0,0,-,12,73.7982,142.996,1,4.99987,391.19,0,0,-,5,36.5991,143.996,,,
baseline,2,M1,Paria,F,NA,,,R,,familiar,232.651,0.387632,0,0,-,0,0,-,52,480.188,5,201.795,19.5995,2,31.3992,496.988,11,16.1996,18.5995,6,50.3987,253.994,2,31.3992,496.988,5,201.795,19.5995,,,
baseline,2,M3,Paria,F,NA,,,R,,familiar,280.313,0.467045,4,597.585,0,0,0,-,47,371.991,0,0,-,0,0,-,1,0.39999,590.385,0,0,-,0,0,-,0,0,-,,,
baseline,2,M4,Paria,M,NA,,,R,,NA,861.345,1.43513,23,350.591,0,22,249.794,5.19987,91,91.3977,6,12.7997,35.5991,8,28.1993,58.3985,30,52.7987,34.3991,31,81.798,4.19989,8,28.1993,58.3985,6,12.7997,35.5991,,,
baseline,2,A2,AxQ,F,NA,,,L,,familiar,756.303,1.26054,10,577.586,0,9,22.7994,86.1978,71,66.7983,3,4.79988,170.396,3,6.99983,91.3977,8,6.39984,169.796,8,11.7997,89.3978,3,4.79988,NA,3,6.99983,NA,,,
baseline,2,A1,AxQ,F,NA,,,L,,novel,474.513,0.790611,16,414.99,21.7995,16,185.395,0,122,272.993,5,15.9996,101.597,6,76.1981,15.3996,16,37.1991,95.5976,15,23.1994,14.9996,5,15.9996,NA,6,76.1981,NA,,,
