id,trial,distance.moved,mean.velocity,time.in.periphery,time.in.center,left.visits.object,left.time.object,left.latency.object,right.visits.object,right.time.object,right.latency.object,freezes,time.freezing,zone.changes,object.side.my.view,object.side.etho.view,time.with.trained.object,time.with.untrained.object,latency.trained.object,latency.untrained.object,prop.time.trained.object,visits.trained.object,visits.untrained.object,rewarding.object.colour,first.choice,distance.moved.in.periphery,distance.moved.in.center,ate,trial.type
b2,9,412.857,1.37668,230.025,69.8684,2,21.8214,74.8733,6,218.614,0,45,30.8302,20,L,R,218.614,21.8214,0,74.8733,0.90924215,6,2,blue,trained,256.378,156.479,yes,training
b3,9,388.14,1.29426,247.442,52.4514,0,0,-,9,249.444,0,39,28.8282,13,L,R,249.444,0,0,300,1,9,0,blue,trained,257.753,130.387,yes,training
c1,9,426.267,1.42139,230.025,70.0686,4,219.615,59.0578,3,33.4327,11.6114,56,108.106,17,R,L,219.615,33.4327,59.0578,11.6114,0.86787985,4,3,green,untrained,229.041,197.226,yes,training
c2,9,242.129,0.807383,288.482,11.6114,2,182.579,101.9,1,1.20118,0,67,157.554,0,R,L,182.579,1.20118,101.9,0,0.993464039,2,1,green,untrained,217.941,24.188,yes,training
c3,9,1278.4,4.26285,279.073,21.0206,4,111.309,15.8155,11,23.2227,3.00294,1,0.200196,145,R,L,111.309,23.2227,15.8155,3.00294,0.827381205,4,11,green,untrained,1184.21,94.19,yes,training
x1,9,528.38,1.76189,215.011,85.0833,5,137.935,21.421,2,11.211,71.2698,48,60.4592,44,R,L,137.935,11.211,21.421,71.2698,0.924832044,5,2,green,trained,311.104,217.276,yes,training
x2,9,436.307,1.45487,258.453,41.6408,3,263.658,17.4171,3,11.0108,0.600588,49,52.051,10,R,L,263.658,11.0108,17.4171,0.600588,0.959912447,3,3,green,untrained,259.977,176.33,yes,training
x3,9,581.919,1.94042,128.326,171.768,6,88.0862,75.2737,4,13.2129,11.4112,18,12.6123,59,R,L,88.0862,13.2129,75.2737,11.4112,0.869565475,6,4,green,untrained,244.313,337.606,no,training
v1,9,454.058,1.51406,182.579,117.515,1,16.4161,283.678,7,127.325,0,35,114.512,31,R,L,16.4161,127.325,283.678,0,0.114206027,1,7,green,untrained,355.626,98.432,yes,training
v2,9,234.593,0.782254,276.07,24.0235,1,271.866,28.2276,1,2.80274,20.2198,104,133.531,0,R,L,271.866,2.80274,28.2276,20.2198,0.989795927,1,1,green,untrained,168.186,66.407,yes,training
v3,9,185.287,0.617844,270.865,29.2286,1,295.089,5.0049,0,0,-,77,97.4955,0,R,L,295.089,0,5.0049,300,1,1,0,green,trained,155.228,30.059,yes,training
g1,9,284.653,0.949181,242.237,57.6564,5,29.629,13.0127,1,13.2129,36.0353,18,205.001,16,R,L,29.629,13.2129,13.0127,36.0353,0.691589309,5,1,green,trained,177.353,107.3,no,training
g2,9,55.4357,0.184851,67.4661,232.628,1,296.29,3.80372,0,0,-,10,282.276,0,R,L,296.29,0,3.80372,300,1,1,0,green,trained,12.2147,43.221,no,training
g3,9,622.314,2.07512,107.705,191.788,3,6.00588,116.714,16,108.706,0,6,3.60353,73,R,L,6.00588,108.706,116.714,0,0.052356216,3,16,green,untrained,220.797,401.517,no,training
w1,10,291.022,0.970417,216.011,84.0823,1,82.4808,217.613,5,200.797,0,32,152.149,1,R,L,82.4808,200.797,217.613,0,0.291165774,1,5,blue,untrained,155.886,135.136,yes,training
w2,10,61.9644,0.277098,146.744,77.0755,0,0,-,1,223.819,76.2747,7,6.80666,0,R,L,0,223.819,300,76.2747,0,0,1,blue,untrained,35.9969,25.9675,no,training
w3,10,624.876,2.08366,139.136,160.557,12,141.739,0,4,17.6172,20.6202,20,26.0255,73,R,L,141.739,17.6172,0,20.6202,0.889447665,12,4,blue,trained,227.132,397.744,yes,training
e1,10,418.821,1.39657,245.24,54.8537,4,161.959,5.40529,7,65.6643,36.6359,26,124.722,28,R,L,161.959,65.6643,5.40529,36.6359,0.711522063,4,7,blue,trained,265.261,153.56,yes,training
e2,10,266.41,0.888347,211.207,88.887,1,214.41,10.21,1,10.6104,255.45,68,108.907,0,R,L,214.41,10.6104,10.21,255.45,0.952846942,1,1,blue,trained,174.647,91.763,yes,training
e3,10,540.846,1.80346,128.726,171.368,1,20.42,224.22,9,203.199,0,10,9.8096,50,R,L,20.42,203.199,224.22,0,0.091316033,1,9,blue,untrained,194.583,346.263,no,training
a1,10,762.799,2.54357,201.397,98.6966,7,117.115,100.699,10,63.2619,0,20,20.8204,86,R,L,117.115,63.2619,100.699,0,0.64927937,7,10,blue,untrained,406.027,356.772,yes,training
a2,10,306.874,1.02328,266.661,33.2325,3,222.218,30.4298,4,27.627,0,56,157.554,7,R,L,222.218,27.627,30.4298,0,0.889423443,3,4,blue,untrained,194.311,112.563,yes,training
a3,10,691.673,2.30639,133.13,166.963,5,22.0216,162.559,9,54.6535,0,3,0.800784,89,R,L,22.0216,54.6535,162.559,0,0.287206668,5,9,blue,untrained,316.702,374.971,no,training
b2,10,28.2613,0.0942378,174.371,125.723,0,0,-,1,297.892,2.20216,5,13.0127,0,R,L,0,297.892,300,2.20216,0,0,1,blue,untrained,10.0418,18.2195,yes,training
b3,10,239.275,0.797868,67.2659,231.827,1,11.211,191.988,4,37.0363,0.600588,50,70.2688,12,R,L,11.211,37.0363,191.988,0.600588,0.232365334,1,4,blue,untrained,57.2318,182.0432,no,training
c1,10,125.831,0.419585,289.283,10.8106,0,0,-,2,291.686,0,33,221.817,0,L,R,291.686,0,0,300,1,2,0,green,trained,119.219,6.612,yes,training
c2,10,600.568,2.0026,230.426,69.468,4,5.40529,85.8841,6,91.6898,0,35,83.0813,47,L,R,91.6898,5.40529,0,85.8841,0.944329935,6,4,green,trained,435.068,165.5,yes,training
c3,10,892.985,3.01389,269.063,27.4269,4,10.0098,98.2962,13,164.761,3.60353,11,10.8106,78,L,R,164.761,10.0098,3.60353,98.2962,0.94272613,13,4,green,trained,803.783,89.202,yes,training
x1,10,322.455,1.07523,262.857,37.2365,1,5.0049,260.855,4,254.85,0,50,127.325,3,L,R,254.85,5.0049,0,260.855,0.980739636,4,1,green,trained,279.865,42.59,yes,training
x2,10,3.65572,0.0121901,154.351,145.743,0,0,-,1,300.094,0,0,0,0,L,R,300.094,0,0,300,1,1,0,green,trained,0.997415,2.658305,no,training
x3,10,483.862,1.61345,148.145,151.548,9,101.499,0,3,26.4259,162.159,25,45.4445,44,L,R,26.4259,101.499,162.159,0,0.206573544,3,9,green,untrained,244.012,239.85,no,training
v1,10,425.396,1.41849,177.974,122.12,8,127.124,31.2306,3,98.4964,92.6907,26,58.6574,38,L,R,98.4964,127.124,92.6907,31.2306,0.436558042,3,8,green,untrained,242.842,182.554,yes,training
v2,10,172.023,0.573614,297.291,2.80274,0,0,-,1,300.094,0,95,144.542,0,L,R,300.094,0,0,300,1,1,0,green,trained,169.176,2.847,yes,training
v3,10,245.666,0.819177,270.665,28.628,2,7.20706,5.80568,5,262.057,37.2365,66,77.4759,0,L,R,262.057,7.20706,37.2365,5.80568,0.97323423,5,2,green,untrained,204.357,41.309,yes,training
g1,10,340.066,1.13396,123.321,176.773,0,0,-,6,152.349,4.60451,27,173.17,22,L,R,152.349,0,4.60451,300,1,6,0,green,trained,182,158.066,no,training
g2,10,585.286,1.95165,210.006,90.0882,4,12.8125,103.301,8,156.153,0,32,104.703,62,L,R,156.153,12.8125,0,103.301,0.924170911,8,4,green,trained,380.501,204.785,no,training
g3,10,669.93,2.23389,116.914,182.979,5,33.6329,174.971,12,74.4729,2.00196,10,3.60353,88,L,R,74.4729,33.6329,2.00196,174.971,0.688889033,12,5,green,trained,241.309,428.621,no,training
w1,11,383.018,1.27718,251.046,49.048,4,21.421,17.0167,3,224.42,40.2394,65,111.109,15,L,R,224.42,21.421,40.2394,17.0167,0.912866446,3,4,blue,untrained,229.04,153.978,yes,training
w3,11,677.052,2.25764,86.8851,213.009,12,64.8635,0,9,56.6555,99.8978,16,28.628,98,L,R,56.6555,64.8635,99.8978,0,0.466227504,9,12,blue,untrained,197.422,479.63,no,training
e1,11,156.397,0.521508,290.685,9.40921,0,0,-,2,293.487,0,62,200.997,0,L,R,293.487,0,0,300,1,2,0,blue,trained,154.636,1.761,yes,training
e2,11,173.508,0.578565,295.089,5.0049,0,0,-,1,297.491,2.60255,100,167.764,0,L,R,297.491,0,2.60255,300,1,1,0,blue,trained,165.204,8.304,yes,training
e3,11,523.861,1.74682,142.139,157.955,6,128.926,0,6,60.6594,96.0941,12,34.0333,47,L,R,60.6594,128.926,96.0941,0,0.319958182,6,6,blue,untrained,258.868,264.993,no,training
a1,11,536.435,1.78875,247.442,52.6515,2,15.0147,253.849,6,231.427,0,47,63.2619,31,L,R,231.427,15.0147,0,253.849,0.939074028,6,2,blue,trained,347.331,189.104,yes,training
a2,11,299.694,1.0587,241.637,41.6408,2,24.4239,16.8165,3,234.43,40.0392,74,140.337,1,L,R,234.43,24.4239,40.0392,16.8165,0.905646003,3,2,blue,untrained,145.275,154.419,yes,training
a3,11,858.11,2.86138,213.609,86.2845,5,54.0529,3.00294,8,28.8282,38.0372,10,24.2237,96,L,R,28.8282,54.0529,38.0372,3.00294,0.347825982,8,5,blue,untrained,676.97,181.14,no,training
b2,11,34.5111,0.115078,293.487,6.60647,0,0,-,1,300.094,0,13,18.0176,0,L,R,300.094,0,0,300,1,1,0,blue,trained,30.6539,3.8572,yes,training
b3,11,637.761,2.12805,173.57,126.324,3,7.80764,147.344,10,65.8645,0.200196,27,24.8243,71,L,R,65.8645,7.80764,0.200196,147.344,0.894021811,10,3,blue,trained,376.083,261.678,no,training
c1,11,330.935,1.10351,217.012,83.0813,1,151.148,63.4621,7,28.0274,7.40725,50,115.913,12,L,R,28.0274,151.148,7.40725,63.4621,0.156424375,7,1,green,trained,211.614,119.321,yes,training
c2,11,222.438,0.741725,250.645,49.048,4,241.436,41.6408,1,15.4151,5.80568,68,154.952,0,L,R,15.4151,241.436,5.80568,41.6408,0.060015706,1,4,green,trained,159.611,62.827,yes,training
c3,11,1253.86,4.18101,247.242,52.8517,13,121.519,0,7,17.6172,35.0343,5,3.40333,157,R,L,121.519,17.6172,0,35.0343,0.873381622,13,7,green,trained,994.614,259.246,yes,training
x1,11,231.921,0.773346,291.085,9.00882,1,211.407,88.6868,2,74.4729,2.20216,65,69.0676,0,R,L,211.407,74.4729,88.6868,2.20216,0.739495851,1,2,green,untrained,191.745,40.176,yes,training
x2,11,367.242,1.22458,169.766,130.328,7,27.4269,78.8772,2,82.6809,0,23,37.2365,29,R,L,27.4269,82.6809,78.8772,0,0.249091345,7,2,green,untrained,144.545,222.697,no,training
x3,11,193.425,0.644978,145.743,154.351,6,190.386,0,0,0,-,34,152.75,0,R,L,190.386,0,0,300,1,6,0,green,trained,133.366,60.059,no,training
v1,11,298.185,0.994304,263.258,36.8361,4,228.023,59.6584,3,47.4465,0,60,164.161,5,R,L,228.023,47.4465,59.6584,0,0.827761331,4,3,green,untrained,201.453,96.732,yes,training
v2,11,242.489,0.808585,271.266,28.8282,1,246.241,53.8527,2,33.6329,0,102,103.101,0,R,L,246.241,33.6329,53.8527,0,0.87982838,1,2,green,untrained,179.998,62.491,yes,training
v3,11,481.069,1.9489,174.571,72.0706,6,92.6907,53.0519,4,64.8635,125.122,16,52.2512,40,R,L,92.6907,64.8635,53.0519,125.122,0.588309928,6,4,green,trained,320.816,160.253,no,training
g1,11,440.842,1.46999,209.805,90.2884,3,32.0314,7.00686,7,27.4269,34.8341,37,112.31,42,R,L,32.0314,27.4269,7.00686,34.8341,0.538720414,3,7,green,trained,248.412,192.43,no,training
g2,11,580.084,1.93559,259.054,40.84,9,207.403,0.200196,3,11.211,176.973,16,43.6427,56,R,L,207.403,11.211,0.200196,176.973,0.948717831,9,3,green,trained,414.623,165.461,no,training
g3,11,323.081,1.11683,172.769,115.913,0,0,-,9,118.516,10.6104,21,91.0892,23,R,L,0,118.516,300,10.6104,0,0,9,green,untrained,133.959,189.122,no,training
w1,12,572.644,1.90949,203.399,96.6947,5,187.183,30.0294,4,27.0265,0,62,80.2786,49,R,L,187.183,27.0265,30.0294,0,0.873831459,5,4,blue,untrained,243.822,328.822,yes,training
w2,12,860.879,2.87062,171.768,127.325,9,76.2747,56.2551,13,80.4788,8.40823,10,6.40627,106,R,L,76.2747,80.4788,56.2551,8.40823,0.486590092,9,13,blue,untrained,456.538,404.341,yes,training
w3,12,729.204,2.43154,82.6809,217.413,3,19.0186,165.162,12,70.2688,24.0235,13,54.6535,88,R,L,19.0186,70.2688,165.162,24.0235,0.213004298,3,12,blue,untrained,269.619,459.585,yes,training
e1,12,332.959,1.11026,268.663,31.4308,1,234.43,34.8341,4,42.6417,0,75,136.333,4,R,L,234.43,42.6417,34.8341,0,0.846098681,1,4,blue,untrained,236.438,96.521,yes,training
