"ate","id","object.pair","object.side","trial","distance.moved","mean.velocity","periphery.visits","time.in.periphery","latency.to.periphery","center.visits","time.in.center","latency.to.center","left.object.visits","time.with.left.object","left.object.latency","right.object.visits","time.with.right.object","right.object.latency","rewarding.object.colour","reward.object.side","time.with.trained.object","time.with.untrained.object","green.object.preference","rewarding.object.preference","prop.rewarding.object.preference","time.with.both.objects","total.time","trial.type","weight"
"NA","1b","pair-b","left",23,952.678,3.1746,23,123.921,9.20902,23,176.172,0,10,105.703,53.4523,9,87.6858,6.80666,"green","right",87.6858,105.703,-18.0172,-18.0172,0.453417157560314,193.3888,300.093,"test",0.1
"NA","2a","pair-b","right",23,641.658,2.13819,15,195.591,2.40235,15,104.703,0,14,64.4631,0,0,0,300,"blue","left",64.4631,0,-64.4631,64.4631,1,64.4631,300.294,"test",0.2
"NA","2b","pair-b","left",23,1105.56,3.68405,31,160.557,0,30,139.737,0.400392,11,99.097,0,10,77.4759,48.6476,"blue","right",77.4759,99.097,21.6211,-21.6211,0.438775712467768,176.5729,300.294,"test",0.11
"NA","3a","pair-b","right",23,1110.35,3.70002,30,153.35,0,30,146.944,1.80176,14,104.903,0.400392,9,69.468,17.8174,"blue","left",104.903,69.468,-35.435,35.435,0.601608065561361,174.371,300.294,"test",0.2
"NA","3b","pair-b","right",23,835.737,2.78492,25,149.747,0,25,150.547,0.400392,7,72.471,24.2237,10,63.4621,0,"green","left",72.471,63.4621,9.0089,9.0089,0.53313725648867,135.9331,300.294,"test",0.12
"NA","4a","pair-b","left",23,907.317,3.02344,22,161.758,0,21,138.536,1.20118,10,96.0941,9.60941,9,69.2678,0,"green","right",69.2678,96.0941,-26.8263,-26.8263,0.418886091657147,165.3619,300.294,"test",0.21
"NA","4b","pair-b","right",23,850.978,2.83571,26,122.92,5.80568,26,177.374,0,10,73.8723,49.048,8,66.6653,0,"green","left",73.8723,66.6653,7.20699999999999,7.20699999999999,0.525640824946491,140.5376,300.294,"test",0.11
"NA","5a","pair-b","left",23,869.422,2.89717,23,206.802,0,23,93.4915,5.80568,9,108.106,37.6368,8,75.0735,1.40137,"green","right",75.0735,108.106,-33.0325,-33.0325,0.409835707598285,183.1795,300.2935,"test",0.18
"NA","5b","pair-b","right",23,1138.61,3.80686,30,157.154,1.00098,30,142.139,2.60255,15,100.899,12.0118,8,37.0363,1.00098,"blue","left",100.899,37.0363,-63.8627,63.8627,0.731495128513151,137.9353,299.293,"test",0.13
"NA","6a","pair-b","right",23,946.39,3.15365,27,187.584,0,27,112.71,3.60353,11,162.96,0,7,40.4396,30.63,"green","left",162.96,40.4396,122.5204,122.5204,0.801181516581154,203.3996,300.294,"test",0.15
"NA","6b","pair-b","left",23,914.189,3.04634,20,142.339,0,19,157.955,0.800784,11,95.6937,0.800784,8,55.4543,34.2335,"green","right",55.4543,95.6937,-40.2394,-40.2394,0.366887421600021,151.148,300.294,"test",0.11
"NA","7a","pair-b","left",23,826.235,2.75326,20,191.588,0,19,108.706,4.40431,9,63.4621,0,7,43.0421,19.2188,"blue","right",43.0421,63.4621,20.42,-20.42,0.404135235981304,106.5042,300.294,"test",0.31
